image_name,Annotator 1,Annotator 2,Annotator 3,Final labelling
KAM (603).jpg,positive,positive,positive,positive
TAN(1).jpg,negative,negative,positive,negative
KAM(516).jpg,positive,positive,positive,positive
TAN(2).jpg,neutral,negative,neutral,neutral
TAN(3).jpg,positive,positive,negative,positive
TAN(4).jpg,negative,negative,negative,negative
KAM(894).jpg,negative,neutral,positive,positive
KAM (127).jpg,negative,negative,negative,negative
MAMN (470).jpg,neutral,negative,neutral,neutral
TAN(5).jpg,negative,negative,negative,negative
KAM(796).jpg,positive,positive,positive,positive
KAM (157).jpg,positive,neutral,negative,positive
TAN(6).jpg,negative,negative,negative,negative
TAN(7).jpg,positive,positive,neutral,positive
MAMN (1530).jpg,negative,negative,neutral,neutral
MAMN (490).jpg,negative,neutral,neutral,neutral
KAM(1078).jpg,positive,positive,positive,positive
MAMN (1317).jpg,neutral,positive,neutral,neutral
KAM (66).jpg,positive,positive,negative,positive
TAN(8).jpg,negative,negative,negative,negative
TAN(9).jpg,positive,positive,positive,positive
TAN(10).jpg,negative,negative,negative,negative
MAMN (1058).jpg,neutral,negative,neutral,neutral
KAM(877).jpg,positive,positive,positive,positive
TAN(11).jpg,negative,negative,negative,negative
MAMN (1456).jpg,neutral,neutral,neutral,neutral
MAMN (1695).jpg,neutral,neutral,neutral,neutral
TAN(12).jpg,negative,negative,negative,negative
TAN(13).jpg,positive,positive,positive,positive
TAN(14).jpg,positive,positive,positive,positive
MAMN (1450).jpg,neutral,neutral,neutral,neutral
MAMN (1519).jpg,neutral,neutral,neutral,neutral
KAM(586).jpg,positive,positive,positive,positive
TAN(15).jpg,negative,negative,negative,negative
KAM (322).jpg,positive,positive,positive,positive
TAN(16).jpg,negative,negative,negative,negative
TAN(17).jpg,neutral,neutral,neutral,neutral
KAM(662).jpg,positive,positive,positive,positive
TAN(18).jpg,negative,negative,negative,negative
TAN(19).jpg,negative,negative,negative,negative
TAN(20).jpg,negative,negative,negative,negative
TAN(21).jpg,negative,negative,negative,negative
MAMN (1261).jpg,neutral,neutral,neutral,neutral
TAN(22).jpg,negative,negative,negative,negative
MAMN (1001).jpg,neutral,neutral,neutral,neutral
TAN(23).jpg,negative,negative,negative,negative
KAM(1277).jpg,positive,positive,positive,positive
MAMN (812).jpg,neutral,neutral,neutral,neutral
TAN(24).jpg,positive,positive,positive,positive
MAMN (1257).jpg,negative,neutral,neutral,neutral
KAM (143).png,positive,positive,positive,positive
KAM (285).jpg,negative,negative,negative,negative
TAN(25).jpg,negative,negative,negative,negative
TAN(26).jpg,negative,negative,negative,negative
KAM(146).jpg,positive,positive,positive,positive
MAMN (1671).jpg,neutral,neutral,neutral,neutral
TAN(27).jpg,negative,negative,negative,negative
TAN(28).jpg,negative,negative,negative,negative
MAMN (311).jpg,neutral,neutral,neutral,neutral
KAM(252).jpg,negative,negative,negative,negative
TAN(29).jpg,negative,negative,negative,negative
MAMN (428).jpg,neutral,neutral,neutral,neutral
MAMN (1003).jpg,neutral,neutral,neutral,neutral
KAM(1277)(1).jpg,positive,positive,positive,positive
MAMN (1160).jpg,neutral,neutral,neutral,neutral
TAN(30).jpg,negative,negative,negative,negative
TAN(31).jpg,positive,positive,positive,positive
KAM (363).jpg,positive,positive,positive,positive
KAM(208).jpg,negative,negative,negative,negative
KAM(977).jpg,positive,positive,positive,positive
MAMN (420).jpg,neutral,neutral,neutral,neutral
TAN(32).jpg,negative,negative,negative,negative
MAMN (1715).jpg,neutral,neutral,neutral,neutral
MAMN (336).jpg,negative,neutral,neutral,neutral
TAN(33).jpg,neutral,negative,neutral,neutral
KAM(788).jpg,positive,positive,positive,positive
KAM(96).jpg,negative,negative,negative,negative
TAN(34).jpg,negative,negative,negative,negative
KAM(625).jpg,positive,positive,positive,positive
TAN(35).jpg,negative,negative,negative,negative
MAMN (1265).jpg,neutral,neutral,neutral,neutral
MAMN (550).jpg,neutral,neutral,neutral,neutral
TAN(36).jpg,negative,negative,negative,negative
KAM(142).png,positive,positive,positive,positive
KAM (620).jpg,positive,positive,positive,positive
TAN(37).jpg,negative,negative,negative,negative
TAN(38).jpg,negative,negative,neutral,negative
TAN(39).jpg,positive,positive,positive,positive
KAM(1320).jpg,positive,positive,positive,positive
KAM(55).png,negative,positive,positive,positive
KAM(270).jpg,negative,positive,positive,positive
MAMN (1004).jpg,neutral,neutral,neutral,neutral
MAMN (2126).jpg,neutral,neutral,neutral,neutral
KAM(187).jpg,negative,negative,negative,negative
MAMN (1892).jpg,neutral,neutral,neutral,neutral
TAN(40).jpg,negative,negative,negative,negative
MAMN (615).jpg,neutral,negative,neutral,neutral
KAM (597).jpg,positive,positive,positive,positive
KAM(968).jpg,negative,negative,negative,negative
TAN(41).jpg,positive,negative,negative,negative
MAMN (2002).jpg,neutral,neutral,neutral,neutral
MAMN (657).jpg,neutral,neutral,neutral,neutral
MAMN (1876).jpg,neutral,neutral,neutral,neutral
MAMN (1584).jpg,positive,neutral,neutral,neutral
TAN(42).jpg,negative,negative,negative,negative
KAM (81).jpg,positive,negative,negative,negative
TAN(43).jpg,negative,negative,negative,negative
TAN(44).jpg,positive,positive,positive,positive
TAN(45).jpg,negative,negative,negative,negative
KAM(885).jpg,neutral,negative,negative,negative
KAM(320).jpg,negative,negative,negative,negative
TAN(46).jpg,positive,positive,positive,positive
TAN(47).jpg,positive,positive,positive,positive
TAN(48).jpg,neutral,negative,negative,negative
TAN(49).jpg,negative,negative,negative,negative
KAM (200).jpg,neutral,positive,positive,positive
TAN(50).jpg,positive,positive,negative,positive
KAM (585).jpg,negative,negative,negative,negative
TAN(51).jpg,negative,negative,negative,negative
KAM(248).jpg,positive,positive,positive,positive
TAN(52).jpg,neutral,negative,negative,negative
TAN(53).jpg,negative,negative,negative,negative
KAM(1212).jpg,positive,positive,positive,positive
TAN(54).jpg,negative,negative,negative,negative
TAN(55).jpg,negative,positive,positive,positive
KAM (155).png,positive,positive,positive,positive
TAN(56).jpg,negative,negative,negative,negative
KAM(227).jpg,positive,positive,positive,positive
TAN(57).jpg,negative,neutral,negative,negative
MAMN (2091).jpg,neutral,neutral,neutral,neutral
MAMN (1178).jpg,neutral,negative,neutral,neutral
KAM(684).jpg,positive,positive,positive,positive
MAMN (1617).jpg,neutral,neutral,neutral,neutral
MAMN (1127).jpg,negative,neutral,neutral,neutral
KAM (102).jpg,positive,positive,positive,positive
TAN(58).jpg,neutral,negative,negative,negative
TAN(59).jpg,negative,negative,negative,negative
TAN(60).jpg,negative,negative,negative,negative
MAMN (1152).jpg,neutral,neutral,neutral,neutral
TAN(61).jpg,negative,negative,negative,negative
KAM(478).jpg,negative,negative,negative,negative
KAM(463).jpg,positive,positive,positive,positive
TAN(62).jpg,negative,negative,negative,negative
MAMN (2029).jpg,negative,neutral,neutral,neutral
MAMN (1173).jpg,neutral,neutral,neutral,neutral
KAM (137).jpg,positive,positive,positive,positive
MAMN (1215).jpg,neutral,neutral,neutral,neutral
TAN(63).jpg,positive,positive,positive,positive
KAM(490).jpg,negative,negative,negative,negative
TAN(64).jpg,positive,positive,positive,positive
KAM (292).jpg,positive,positive,positive,positive
TAN(65).jpg,negative,negative,negative,negative
KAM(580).jpg,negative,neutral,negative,negative
KAM(813).jpg,negative,negative,negative,negative
TAN(66).jpg,neutral,negative,negative,negative
TAN(67).jpg,negative,negative,negative,negative
MAMN (1676).jpg,neutral,neutral,neutral,neutral
MAMN (1138).jpg,neutral,neutral,neutral,neutral
KAM (581).jpg,negative,negative,negative,negative
MAMN (1698).jpg,neutral,neutral,neutral,neutral
MAMN (1983).jpg,neutral,neutral,neutral,neutral
TAN(68).jpg,negative,negative,negative,negative
MAMN (399).jpg,neutral,neutral,neutral,neutral
TAN(69).jpg,negative,negative,negative,negative
MAMN (1542).jpg,neutral,negative,neutral,neutral
KAM(864).jpg,positive,positive,positive,positive
TAN(70).jpg,negative,negative,negative,negative
KAM (701).jpg,positive,negative,positive,positive
MAMN (1514).jpg,neutral,neutral,neutral,neutral
KAM(153).jpg,negative,negative,negative,negative
KAM (77).jpg,positive,positive,positive,positive
TAN(71).jpg,negative,neutral,negative,negative
KAM(282).jpg,negative,negative,negative,negative
KAM (51).png,positive,positive,positive,positive
KAM(1338).jpg,positive,positive,positive,positive
TAN(72).jpg,negative,negative,negative,negative
KAM(1379).jpg,negative,positive,positive,positive
MAMN (826).jpg,neutral,neutral,neutral,neutral
KAM (725).jpg,negative,negative,negative,negative
MAMN (811).jpg,neutral,neutral,neutral,neutral
MAMN (464).jpg,neutral,negative,neutral,neutral
KAM(948).jpg,negative,negative,negative,negative
TAN(73).jpg,positive,neutral,neutral,neutral
KAM (605).jpg,positive,positive,positive,positive
TAN(74).jpg,negative,negative,negative,negative
MAMN (1719).jpg,neutral,negative,neutral,neutral
TAN(75).jpg,negative,negative,negative,negative
KAM(1124).jpg,positive,positive,positive,positive
KAM (523).jpg,neutral,positive,positive,positive
KAM (686).jpg,positive,positive,positive,positive
KAM (626).jpg,negative,negative,negative,negative
MAMN (1605).jpg,neutral,neutral,neutral,neutral
MAMN (2077).jpg,neutral,neutral,positive,neutral
TAN(76).jpg,negative,negative,negative,negative
KAM (610).jpg,negative,negative,negative,negative
MAMN (1815).jpg,neutral,negative,neutral,neutral
MAMN (1726).jpg,negative,neutral,neutral,neutral
TAN(77).jpg,positive,positive,positive,positive
MAMN (1309).jpg,neutral,neutral,neutral,neutral
TAN(78).jpg,positive,positive,negative,positive
KAM(599).jpg,positive,positive,positive,positive
TAN(79).jpg,negative,negative,negative,negative
TAN(80).jpg,negative,negative,negative,negative
MAMN (384).jpg,negative,neutral,neutral,neutral
KAM(521).jpg,positive,positive,positive,positive
MAMN (1237).jpg,neutral,negative,neutral,neutral
TAN(81).jpg,positive,positive,positive,positive
MAMN (1844).jpg,neutral,neutral,neutral,neutral
MAMN (1703).jpg,neutral,neutral,negative,neutral
KAM(591).jpg,positive,positive,positive,positive
KAM(585).jpg,negative,negative,negative,negative
TAN(82).jpg,positive,negative,negative,negative
TAN(83).jpg,neutral,neutral,neutral,neutral
TAN(84).jpg,negative,positive,negative,negative
TAN(85).jpg,negative,negative,negative,negative
MAMN (985).jpg,neutral,neutral,positive,neutral
TAN(86).jpg,negative,negative,negative,negative
KAM (247).png,positive,positive,positive,positive
MAMN (1678).jpg,neutral,neutral,neutral,neutral
TAN(87).jpg,neutral,neutral,neutral,neutral
MAMN (1011).jpg,negative,neutral,positive,neutral
MAMN (479).jpg,negative,positive,neutral,neutral
TAN(88).jpg,positive,positive,positive,positive
MAMN (2120).jpg,neutral,neutral,neutral,neutral
TAN(89).jpg,negative,negative,negative,negative
KAM(205).png,negative,positive,positive,positive
KAM(249).jpg,positive,negative,positive,positive
KAM(988).jpg,positive,positive,negative,positive
MAMN (446).jpg,neutral,neutral,neutral,neutral
KAM (227).png,negative,negative,negative,negative
KAM(584).jpg,negative,negative,negative,negative
KAM(759).jpg,negative,negative,negative,negative
TAN(90).jpg,neutral,negative,negative,negative
TAN(91).jpg,negative,negative,negative,negative
TAN(92).jpg,negative,neutral,negative,negative
TAN(93).jpg,negative,negative,negative,negative
KAM (130).jpg,positive,negative,neutral,negative
TAN(94).jpg,negative,negative,negative,negative
MAMN (723).jpg,neutral,negative,neutral,neutral
TAN(95).jpg,negative,negative,positive,negative
KAM (401).jpg,positive,positive,positive,positive
MAMN (667).jpg,neutral,neutral,neutral,neutral
KAM (707).jpg,negative,positive,positive,positive
TAN(96).jpg,positive,positive,positive,positive
KAM(301).jpg,positive,negative,negative,negative
TAN(97).jpg,negative,negative,negative,negative
TAN(98).jpg,negative,neutral,negative,negative
MAMN (1263).jpg,neutral,neutral,neutral,neutral
KAM (15).jpg,positive,positive,positive,positive
KAM(1101).jpg,positive,positive,positive,positive
MAMN (2).png,neutral,neutral,neutral,neutral
TAN(99).jpg,negative,negative,negative,negative
TAN(100).jpg,neutral,negative,negative,negative
KAM(372).jpg,positive,positive,positive,positive
TAN(101).jpg,negative,negative,negative,negative
TAN(102).jpg,neutral,neutral,neutral,neutral
TAN(103).jpg,negative,negative,negative,negative
KAM(728).jpg,negative,neutral,negative,negative
MAMN (2070).jpg,neutral,neutral,neutral,neutral
KAM(390).jpg,positive,positive,positive,positive
TAN(104).jpg,negative,negative,negative,negative
KAM (323).jpg,positive,positive,positive,positive
TAN(105).jpg,negative,negative,negative,negative
TAN(106).jpg,negative,neutral,negative,negative
TAN(107).jpg,positive,positive,positive,positive
TAN(108).jpg,negative,negative,negative,negative
KAM(1063).jpg,positive,positive,positive,positive
TAN(109).jpg,negative,positive,negative,negative
TAN(110).jpg,negative,negative,negative,negative
KAM(978).jpg,neutral,negative,negative,negative
MAMN (871).jpg,neutral,neutral,neutral,neutral
MAMN (690).jpg,neutral,neutral,neutral,neutral
KAM (34).jpg,positive,positive,positive,positive
KAM (595).jpg,positive,neutral,positive,positive
KAM (670).jpg,neutral,positive,positive,positive
MAMN (501).jpg,neutral,neutral,neutral,neutral
KAM(1182).jpg,positive,positive,positive,positive
KAM (467).jpg,neutral,positive,positive,positive
KAM (738).jpg,positive,positive,neutral,positive
TAN(111).jpg,negative,negative,negative,negative
TAN(112).jpg,neutral,negative,negative,negative
TAN(113).jpg,negative,negative,positive,negative
MAMN (1049).jpg,neutral,neutral,neutral,neutral
MAMN (890).jpg,neutral,neutral,neutral,neutral
KAM (205).png,positive,positive,positive,positive
MAMN (1360).jpg,neutral,neutral,neutral,neutral
MAMN (1961).jpg,negative,neutral,neutral,neutral
KAM (572).jpg,positive,positive,negative,positive
KAM (95).jpg,positive,positive,positive,positive
KAM(226).png,negative,positive,positive,positive
KAM(1096).jpg,positive,positive,neutral,positive
TAN(114).jpg,negative,negative,negative,negative
KAM (210).png,positive,positive,positive,positive
KAM (444).jpg,negative,negative,negative,negative
TAN(115).jpg,negative,negative,negative,negative
TAN(116).jpg,negative,negative,negative,negative
KAM(88).jpg,positive,positive,positive,positive
TAN(117).jpg,negative,negative,negative,negative
MAMN (930).jpg,negative,neutral,neutral,neutral
MAMN (2106).jpg,neutral,negative,neutral,neutral
MAMN (794).jpg,neutral,neutral,negative,neutral
TAN(118).jpg,neutral,neutral,neutral,neutral
KAM(1054).jpg,positive,positive,neutral,positive
MAMN (291).jpg,neutral,neutral,neutral,neutral
TAN(119).jpg,negative,neutral,negative,negative
KAM(1192).jpg,neutral,positive,positive,positive
KAM(235).png,positive,positive,positive,positive
MAMN (2078).jpg,neutral,neutral,neutral,neutral
TAN(120).jpg,positive,positive,positive,positive
TAN(121).jpg,negative,neutral,negative,negative
KAM(310).jpg,positive,positive,positive,positive
MAMN (1722).jpg,negative,neutral,neutral,neutral
TAN(122).jpg,negative,negative,negative,negative
TAN(123).jpg,negative,negative,negative,negative
TAN(124).jpg,negative,neutral,negative,negative
MAMN (504).jpg,neutral,neutral,neutral,neutral
TAN(125).jpg,negative,negative,negative,negative
TAN(126).jpg,negative,negative,negative,negative
KAM(414).jpg,neutral,negative,negative,negative
TAN(127).jpg,negative,negative,negative,negative
TAN(128).jpg,negative,positive,negative,negative
MAMN (1648).jpg,neutral,neutral,neutral,neutral
KAM (637).jpg,positive,positive,positive,positive
TAN(129).jpg,negative,negative,negative,negative
MAMN (1631).jpg,neutral,neutral,neutral,neutral
MAMN (1908).jpg,neutral,negative,neutral,neutral
